,AMM.,BOD,COD,DO,PH,TKN,WT
57,11.83,19.0,66.0,0.0,7.3,15.9,30.0
58,18.35,27.0,62.0,0.0,7.53,23.85,20.5
59,18.51,22.0,86.0,0.0,7.46,22.36,20.5
60,0.24,2.0,19.0,9.4,7.97,1.1,12.0
61,0.1,3.0,13.0,6.9,7.7,3.0,31.0
62,0.08,1.0,15.0,6.6,7.46,4.0,29.0
63,0.18,1.0,4.0,5.9,7.18,1.61,30.5
64,0.11,1.0,22.0,6.6,7.64,0.53,30.0
65,0.07,1.0,2.0,6.3,7.67,6.15,32.0
66,1.25,2.0,6.0,6.4,7.89,1.88,24.0
67,16.44,34.0,84.0,0.0,7.47,17.7,15.5
68,16.12,51.0,104.0,0.0,7.09,20.0,19.5
69,17.4,33.0,71.0,0.0,7.17,33.0,25.0
70,15.83,19.0,83.0,0.0,7.39,21.0,29.5
71,31.0,23.0,69.0,0.0,7.01,36.0,31.5
72,11.13,11.0,59.0,0.0,7.22,26.0,30.5
73,2.6,3.0,18.0,1.9,7.72,6.99,35.0
74,0.74,5.0,34.0,4.0,7.46,2.15,30.0
75,4.03,4.0,18.0,6.1,7.4,7.22,32.0
76,13.59,25.0,67.0,5.1,6.99,21.66,30.0
77,7.98,19.0,57.0,0.0,7.84,11.39,22.0
78,19.74,27.0,73.0,0.0,6.97,20.68,19.0
79,17.25,35.0,92.0,0.0,7.35,21.53,15.0
80,14.67,43.0,108.0,0.0,7.14,21.96,19.5
81,18.79,30.0,72.0,0.0,7.21,23.6,25.0
82,16.47,19.0,72.0,0.0,7.26,20.0,29.5
83,31.0,21.0,68.0,0.0,7.08,37.0,31.5
84,9.86,20.0,55.0,0.0,7.02,18.0,30.5
85,1.54,4.0,11.0,2.4,7.68,5.92,35.0
86,1.02,4.0,38.0,3.6,7.52,2.15,30.0
87,3.9,4.0,17.0,7.7,7.45,7.22,32.0
88,11.32,26.0,61.0,5.6,7.09,20.7,30.0
89,7.78,17.0,49.0,0.0,7.85,12.56,22.0
90,23.47,25.0,71.0,0.0,7.01,25.03,19.0
91,0.26,2.0,8.0,9.8,7.77,0.49,15.0
92,0.18,2.0,9.0,7.9,7.05,1.81,18.0
93,0.04,4.0,16.0,7.7,7.68,0.65,25.0
94,0.2,4.0,14.0,7.6,8.38,0.58,28.5
95,0.56,1.0,4.0,7.2,7.03,1.81,30.0
96,0.88,1.0,9.0,6.8,7.54,2.28,31.5
97,0.35,1.0,5.0,6.7,7.97,1.49,29.0
98,0.79,1.0,12.0,7.6,7.56,2.43,29.0
99,0.05,2.0,8.0,7.0,7.7,0.68,28.0
100,0.18,3.0,12.0,8.8,7.71,1.02,24.0
101,0.25,1.0,3.0,8.4,7.57,1.0,16.0
102,16.31,32.0,81.0,0.0,6.82,19.26,19.0
103,25.3,36.0,88.0,0.0,6.86,28.88,23.0
104,13.95,15.0,31.0,0.8,6.89,18.9,17.0
105,28.84,30.0,68.0,0.0,6.81,29.18,33.0
106,26.78,22.0,61.0,0.4,7.54,28.78,31.0
107,10.32,32.0,78.0,1.2,7.43,13.63,31.0
108,24.12,27.0,80.0,1.8,7.4,28.6,30.0
109,10.6,10.0,41.0,0.1,7.24,16.0,28.0
110,1.0,6.0,34.0,2.1,6.92,3.31,20.0
111,11.61,22.0,59.0,0.0,7.13,14.75,33.0
112,12.93,20.0,58.0,1.1,7.17,16.43,29.0
113,19.5,18.0,63.0,0.0,7.36,20.59,15.0
114,16.23,37.0,78.0,0.0,6.85,19.02,19.0
115,22.2,27.0,92.0,0.0,6.88,27.56,23.0
116,12.3,16.0,39.0,0.4,7.16,15.4,17.0
117,23.52,27.0,63.0,0.0,6.82,24.41,33.0
118,25.05,20.0,59.0,0.2,7.5,29.39,31.0
119,12.26,34.0,79.0,1.1,7.34,14.84,31.0
120,26.52,28.0,78.0,2.2,7.36,27.39,30.0
121,10.48,11.0,42.0,0.5,7.15,15.6,28.0
122,0.83,5.0,31.0,2.3,6.72,2.98,20.0
123,12.93,22.0,57.0,0.0,6.98,15.78,33.0
124,13.62,20.0,62.0,1.1,7.11,17.0,29.0
125,17.73,21.0,63.0,0.0,7.46,20.02,15.0
126,0.17,1.0,3.0,9.6,7.39,1.16,13.5
127,0.54,2.0,6.0,7.8,7.47,1.46,16.0
128,0.09,1.0,9.0,7.4,8.32,1.2,22.5
129,1.65,2.0,16.0,7.6,8.23,3.07,26.0
130,0.95,2.0,10.0,7.5,8.4,1.64,29.5
131,0.07,1.0,10.0,6.7,8.49,0.53,32.0
132,0.28,1.0,19.0,6.5,7.78,0.68,30.0
133,0.97,1.0,14.0,12.0,8.36,1.35,28.5
134,0.74,2.0,22.0,12.3,8.64,4.76,21.5
135,0.37,1.0,4.0,7.2,7.62,1.15,16.0
136,15.83,24.0,70.0,0.0,7.02,21.19,13.5
137,15.82,30.0,80.0,0.0,6.83,21.46,23.0
138,20.83,28.0,91.0,0.0,7.16,29.0,26.0
139,17.67,25.0,61.0,0.0,7.51,21.0,26.0
140,16.89,34.0,88.0,0.0,7.81,21.0,27.0
141,28.38,28.0,113.0,0.0,7.96,31.52,30.0
142,2.59,5.0,22.0,1.3,7.89,4.02,29.0
143,2.95,5.0,14.0,3.5,7.17,4.64,28.0
144,1.19,4.0,31.0,4.6,7.65,3.93,29.5
145,7.36,17.0,67.0,1.7,7.35,13.97,26.0
146,15.99,29.0,72.0,0.0,7.44,18.03,26.0
147,21.3,36.0,87.0,0.0,7.16,26.97,22.0
148,17.41,21.0,69.0,0.0,7.01,20.61,13.5
149,15.7,37.0,84.0,0.0,6.82,19.69,23.0
150,21.95,21.0,79.0,0.0,7.27,26.0,26.0
151,16.94,25.0,67.0,0.0,7.58,20.0,26.0
152,16.5,37.0,85.0,0.0,7.66,24.0,27.0
153,27.63,33.0,109.0,0.0,7.9,30.45,30.0
154,2.44,4.0,21.0,1.3,7.94,4.02,29.0
155,3.54,4.0,15.0,3.4,7.01,5.46,32.0
156,1.15,4.0,31.0,5.3,7.6,3.66,29.5
157,8.2,18.0,69.0,1.7,6.85,15.6,26.0
158,16.8,25.0,68.0,0.0,7.56,18.93,26.0
159,20.52,31.0,85.0,0.0,7.25,27.54,22.0
160,8.139046684832149,2.2082282077197686,39.94619423809222,10.791911773727291,7.891681220374328,7.656936871639217,22.156688435117214
161,8.149159461496351,2.0209761916964677,29.61374417037058,6.502272260188498,8.742545332574286,8.77296066327126,31.17577766290695
162,8.196478242351297,12.08255338295106,48.041669830059675,11.851948240770398,8.522056688349329,7.431187289036856,31.6468453058382
163,4.281688538156753,6.845750975299503,16.474829245918556,11.846125494293199,9.24538435594032,11.658129760614985,34.63448829920548
164,2.294369940161734,9.283953995140443,31.878144490902883,14.9888458686385,9.104423875891683,9.569158854059035,39.76457299689724
165,1.6736377594120002,3.688511685778156,16.09829055929275,9.767040698885785,8.765711420821047,9.936629014741488,30.653751081534864
166,1.815107366659165,5.714965960287046,14.815117787918844,15.835639657913404,8.48487735561313,4.59519505418263,33.34740786923529
167,7.153528590938519,4.788801242784649,48.50495402172843,14.26094051864375,8.107575705809817,10.311832184369646,32.4847387730887
168,3.3146564053646372,11.696010707573723,34.749553827117154,14.736202224121232,8.656509521603457,5.184933589292823,18.455308492513943
169,10.745557301431049,19.072744804702097,43.91944978989948,3.584787388936828,8.07801216352135,10.77971707472655,15.737431269096964
170,13.64354694017587,15.410162327582642,73.29673489244975,3.9509508343810307,8.554446593033513,14.212428772789233,25.812103486359202
171,14.39688126304849,21.09904525671732,69.56919146084219,3.242859483669883,8.866759752623999,18.828998037738348,24.098225762090816
172,24.932151056978174,16.213677767950543,85.85046607434175,1.0623436241884323,7.950550330132764,23.21987471984618,28.561199447055937
173,20.398004013946252,15.722992570103413,78.77928620744491,2.4895407758132957,8.402705800398401,31.923032802120932,37.954970924541456
174,21.506394707295833,14.505066904493141,89.19875993786714,3.728099737024898,8.804483764520128,40.18957552662097,35.01347126614009
175,15.99820827749852,8.573284461139476,46.10482649136103,3.1806776303247477,7.91048760572467,32.245275107949126,33.64840251383521
176,6.19764494362383,8.692223059543448,33.01149547792743,3.8317167602056044,8.182114669357944,16.202595044658313,32.415787669634426
177,14.22144265079227,30.695778291726278,77.84020069035952,1.1125566581498836,7.68227976290919,24.86106104391297,26.73431441476659
178,19.69671598006107,27.152287007708633,89.29001170723164,2.7255735165555635,7.99919562982439,32.470581971871084,24.40012959740917
179,17.993049987486856,13.572261422184361,49.11776455636696,2.1348556630077087,7.751986228549731,16.259844937289962,18.210602453358838
180,12.286603350247928,11.442123754416395,36.40574169163611,3.095859485326483,8.495634859166653,16.79919346159874,24.115417767796345
181,13.444355900733738,16.74927769994509,75.5274556618736,1.7076138067533364,8.041857236286189,21.29427200635027,25.636076823803833
182,20.252370890776163,14.481861479776175,64.38346481665747,2.223092616286346,8.281017852346015,21.76086058217909,29.76044441329158
183,16.064637643069624,23.896671873405502,93.45787878123937,1.4394673387632797,8.341518572166393,20.60404925910675,37.98331242229627
184,22.069048763806904,11.67560037789293,72.44033511211228,3.556897092121143,8.184111223035366,32.39135005726753,33.84381125019336
185,20.25997287358459,5.033476292292441,61.52368303882033,3.045622623353736,8.219702707216891,40.05257692598828,30.490186575211293
186,7.829965970005625,14.60142248706808,47.49454146476042,3.0667629229013524,8.870028026010802,9.841088395840595,34.678613829322266
187,17.680182854607487,32.333515451148095,68.0216255469012,1.429595236940727,7.9415868053741425,27.56500683624177,29.08382458653248
188,16.09511206098896,24.298894582543397,71.6735851077866,1.2407919615615217,8.086737692739673,32.38384311420193,21.0129187578813
189,2.307016858122462,5.877103342644322,36.62819918218519,11.136428345639809,8.131978674974812,11.260280672821795,14.89140015702002
190,2.129808635226716,5.7308840233582306,29.186670085848874,11.188453307267835,7.983815113169021,4.0932755474301,17.094839977454118
191,2.684129901028304,6.475212139870708,6.905995548323986,13.126867032902265,8.19778413991583,6.9957323985308415,23.275763165709126
192,4.4062542212502676,9.576541162068114,13.089078885211876,9.697049002333495,7.49623919837519,5.243384763492731,26.143064586907354
193,4.144155784366195,3.2005620885036343,23.128557789183976,9.310089550756299,8.609126488945101,4.407439024838208,35.64887487603698
194,5.563717068604541,11.117012611441094,29.676214813347272,7.886188733756079,8.544442038772338,2.501874114832794,28.38207064824297
195,7.407467453086765,2.6152696875776833,39.34575822752229,8.080651218247837,8.846218525258108,8.177330554561692,33.30828950730134
196,3.865036099788553,13.112837137217475,14.003161656280177,8.9650960404136,9.050135605709833,2.811636473396155,29.824998923931435
197,5.199428290006997,4.227892806604514,17.260050080456047,12.350742718785057,8.483026975303364,5.866353182874073,18.08700157767171
198,18.952530519961705,36.13880034268712,93.23882332311396,3.542747494577928,8.372627190377473,28.62209340662217,23.26473256696312
199,12.91080768772445,23.82433596208231,42.24195692156373,2.8634455566991974,8.212351249440024,24.989160484590364,23.6446913654544
200,18.804256287660635,30.796575303451135,58.90849115198408,3.039174734319907,7.900486681691373,15.32855977914736,27.609777956686123
201,22.114364434757036,27.288594586182242,121.01219971790985,4.09011099836865,8.559359630610158,26.462619350392913,36.34230664727297
202,18.589026095701726,24.476684351029697,80.02989127608353,6.838576272463358,8.515989747015357,20.45245725644209,36.348285686290005
203,7.900355831484269,17.46201288626545,39.06358953446625,4.905436258856285,8.016716597381158,16.435483123089437,33.39856947349081
204,9.99476708910763,15.198058423568575,50.93056346736003,5.812401040797864,8.8150621372507,15.07730480177927,31.2135138567855
205,8.292731944421448,18.52718517924758,69.80282869641297,1.663337326587464,8.641076089170198,15.940720832307193,31.09904559704481
206,23.403812834817614,21.592821514672387,80.3325847403078,3.3111306034675505,7.917968009904961,24.351237468323173,32.39331747424726
207,26.540738435375392,31.706936179009137,80.27841760124394,3.6298322938947067,8.20288043829541,25.078908610887083,23.751292349666556
208,23.57025952878211,35.296413040680804,103.70073790513203,2.5781741629483115,8.2919162991391,23.476503159045066,23.292132744148315
209,19.96135977547068,24.0906932395753,100.00358543878826,3.4835706624411262,8.068608275675174,31.508667573148877,24.932022917019506
210,15.504436007647705,15.774421552619039,46.289092849636674,1.4524744345581437,8.047400758097632,22.277862212004095,21.798937519384328
211,17.939663798130212,24.35221134171313,55.22287718396518,2.103379833842457,8.456660303768901,22.605829988545203,24.141074541568848
212,21.44244426624652,33.80321443049183,127.42082576085484,3.25063577976535,8.431641843670779,27.13239947388502,37.530946818660595
213,13.980647703753064,21.574360408955073,66.90915846727519,5.752584133736464,8.384466026653527,28.722955390303166,35.13954766860429
214,4.681816670357416,15.245495804711226,43.739070808394146,5.252690665585256,8.18132371942027,19.559637446075854,33.7385003440431
215,4.7222151708599895,10.614783042897916,60.65898974335292,7.40195557500191,8.64532363987197,15.167450756479825,34.646896100088064
216,10.033408123837454,12.009324986246448,57.034841634892615,2.440696572344972,8.726484237280477,12.602078017232342,35.84379529856316
217,16.09747316449811,27.82325026095195,82.76034766874385,3.275320220818156,7.850978198290588,18.907446731110355,33.44542946122221
218,24.341502373767767,28.030926000914164,71.68408642285995,1.6132520516676334,8.525430689976805,32.91956998855272,21.94674182487183
219,22.359538949545072,25.281303244173802,109.4312544589258,2.7142431278787433,7.928263841514107,27.124462170082552,25.76135308154929
220,2.323386361558251,13.384545137282522,27.80743561480708,10.543881177722605,8.622898170099077,2.753886049628728,15.91321188584715
221,5.008972372526611,13.120647352600322,18.657063037445106,8.658309026548743,8.634988682578557,10.264507601881768,33.86289548924733
222,1.8777484508477293,4.533142021913514,31.19699094302539,9.609713180044341,8.07905327399213,13.29112218079927,31.220988616651496
223,3.9990137167914903,11.018832106942254,5.35271655452971,7.59524401987997,7.9235841047573725,8.963309654348079,33.2977723754426
224,8.084877066068067,8.104632388511284,44.9656303503902,9.04518765131427,8.10641810442261,4.619878628129657,32.28906047305952
225,2.050164590997912,12.349676870467727,26.475421401458277,8.951041556316968,8.532496507730055,13.949875310089725,33.22064781590118
226,3.4125659532695423,8.576884042631715,13.002141955950673,9.920874871946324,8.532943157165581,6.0266415409585194,25.263524867376308
227,24.481937980347745,38.58736831239099,86.38268459068681,1.0583581097794879,8.419189439299856,27.76066732439249,20.14381027115827
228,23.067920928889386,55.39664101149215,114.0323130312069,3.7223152690972596,8.020437736359597,25.40959901579775,22.898274889924377
229,20.284211106123887,42.28505130532662,83.7234336320663,1.1030030702474471,7.890031825309485,34.86879594445447,26.356740515113074
230,17.44017035311692,20.407710210036072,85.3545373439593,2.871741962031567,8.219951086014843,23.490056283574514,30.55839484488132
231,36.36866658434177,24.612687180589326,95.90330769238744,1.7874847182795437,7.73990877283359,45.245127339289226,37.334747670404425
232,16.13098444252431,13.924689805043341,87.04216697936904,1.7532148858367362,8.212390801982604,32.07637926982045,35.2411036720625
233,7.853694026036399,14.637410053184068,37.266149465608365,3.7496181108517055,8.410585747143209,9.427961849734281,39.83778146884788
234,5.423332919555014,6.7420415326579075,42.535330937233695,6.325162342436371,8.392134764895985,6.298679011559225,33.18080713426421
235,10.424246497651247,13.864075574096738,39.43325183119971,7.913392692447081,8.383608435430851,10.840374634609645,33.22635337250149
236,19.46150753185175,35.51570201740709,82.9153756674692,6.545464353706516,7.457075931932614,25.9320426415281,34.09461317707443
237,15.027637699895212,30.81921962779787,74.29249219839069,2.153593672780973,8.67055240029453,20.23444543295294,24.834185631216208
238,25.196480265416884,36.90555286801245,88.98067655836911,1.976055215211632,7.654864114415533,21.76707623011923,21.393222024893284
239,21.57547084417928,42.708258340561954,93.16704053295061,2.2148369224843267,8.008358582297902,26.442503710697338,20.647273116494812
240,18.67491530414008,49.31545140834854,113.03292864599183,2.2135249422762984,7.864905744597015,29.67616657089192,21.00855956455778
241,20.2343356658212,32.47104328100057,92.87265145996074,3.2166273553627116,8.161276135057305,28.080036236797405,27.517974472590723
242,19.203130761334503,30.576357073159407,99.8207660219014,2.443839193105715,8.063667173289717,26.308302362701447,31.75499024561404
243,37.02612442309461,29.984973301899352,72.5427687915781,2.9089415429888907,7.675875691664474,46.81447028980992,32.73167395436235
244,12.144651172481229,21.861340806592402,82.34080806469409,2.5092509050927636,7.9763244649363525,26.203604712374105,31.645965673249727
245,9.129872671886512,14.884259552677108,27.497954317078626,4.246161234408838,8.526371455835639,15.07049961689516,40.61003311837412
246,7.282919494331333,8.43791787354866,63.63156926633424,5.544536752108783,8.18536924109812,10.721190858132887,33.150045408309325
247,10.692326460560091,12.522546199358198,31.92055895397922,10.423193197867716,8.147864629110389,16.68339039646654,37.48483928163535
248,17.187403941970373,30.493143351322733,80.80071995708224,8.605453703365473,7.985314708130323,24.669349477093675,35.065364644672556
249,15.69899355433715,27.660995571341257,59.66141431635246,2.735857840769264,8.563957767210947,15.34673099914976,23.52462463642665
250,24.83051794900899,33.42465180607603,98.26696401437907,3.1334746166242855,7.59110680170286,27.62063381798707,22.735548453466055
251,6.473556450253724,6.394763298712468,16.74473265310191,13.413745600579999,8.529886383931032,3.544447006565105,20.233000916269134
252,7.962898716570939,10.573215591692032,17.768185729815784,10.161134087393036,7.803183354037563,3.2578030535317146,23.30884425117098
253,7.130837425037547,8.905999520202272,22.60762450072074,11.060080728235448,8.641443581227296,2.2605575715378197,30.536923643858145
254,1.6333360457073345,7.5783742701247725,30.754150046195527,11.19966409271148,8.927734344152412,4.670729500375408,33.555370330303404
255,8.582812839987664,2.5226057034751825,18.85342279367935,10.892293299360782,7.8492170353041155,4.530957045349897,33.66420195033764
256,8.731145112341952,2.536552585897555,24.97513416343108,8.882337326070978,8.499936702764836,11.91535258982835,33.74107646435588
257,3.701806501404613,8.925157966593655,6.871388524417931,10.3555353200713,8.709535592590074,11.101391797967596,33.70230040597156
258,7.339845476205541,8.402977299879232,40.530299612309896,8.983440927281205,8.29257168682591,6.153697971935815,33.492551295860295
259,5.599023615625195,4.54002400649955,11.299232057330936,9.08108509703297,8.582346666829372,2.6053857750745046,32.137216718434296
260,7.880626352104159,8.415016416217311,14.834811500553716,10.572456691875828,8.513526080752346,3.493623080265159,28.661193336421444
261,6.810127888330925,3.917288261451521,32.39911627537625,10.777351627742792,8.066209375818472,2.3947195427455004,18.251040957155205
262,17.623877430347434,40.75215337952374,95.059356093022,3.1615804906597296,7.29295615441291,20.66786569910444,23.852446082676103
263,27.517671472348752,45.921264603353954,107.28119222498125,3.7020160574291703,7.456697429085855,31.674311145803483,25.10576185973874
264,18.126747735629145,19.683210988977738,55.64723744042833,2.517484528627026,7.52422930615633,23.116782080576854,20.791789336895743
265,30.046439762033227,41.26535644965644,88.83785768832027,3.3671122370278486,7.802869932730477,38.69210308426243,36.74489694401407
266,35.08724544456456,31.83255795754885,67.88733716560203,3.081924447699952,8.421367371500352,36.322649808643845,34.94814385932639
267,17.777181373320445,34.90232017699124,82.95529130600474,2.816098556710446,8.030733316781753,22.83214757847665,34.192372599721466
268,31.441747400366467,30.98080684023642,81.05640762097175,3.1364304321946515,8.188410539728034,36.36963239547126,33.15565873389362
269,14.308832126746664,17.725412150814062,66.1263017068315,1.6922552117922818,7.833643741422149,19.210441274666042,30.683376170684106
270,5.484229259127844,11.238273990828379,56.86850228736034,4.782319925497537,7.696142472123832,10.95919454503303,25.86415313424279
271,13.315805712762483,28.590070355582316,87.47563638453104,3.0500932008499264,8.08033506415818,17.30702803058451,35.66248910854181
272,15.43377832369476,29.224556244790307,84.77590617687764,4.684138681787324,7.680268734811958,19.62432426230319,32.97744486923996
273,22.67573786747662,26.739474117008086,91.93554089006504,2.62494290829001,7.795904590571899,28.011818706819867,19.79434228040028
274,21.053520689939397,48.66324300937765,103.86977538244294,3.3275930986787707,7.775247848131813,20.797240288938106,20.421817034099938
275,28.62827109135907,30.705175094770752,121.22696408592338,3.390250967648812,7.526320156063434,36.98406797361988,28.44289643670046
276,18.550664815767195,23.509238296163666,64.13953090600344,3.6752613704313943,8.159186684972664,19.194573840515655,18.93285258969035
277,28.099946451428778,36.601154157903395,85.2701289949333,1.1994040815759943,7.496213924839195,28.747531868668528,37.30261556193949
278,28.073632969442748,26.616465241028457,73.82186476623188,1.8582125767432431,8.00489089335192,36.72805783477344,34.56843883258777
279,18.031704536308183,44.3711896512135,99.15825318595753,4.1114904613732275,8.12576822363759,17.623242061059944,34.077311915842884
280,32.09490736818065,36.92998001893454,105.95420507744535,4.58930281535198,8.166777581761217,31.276838176781094,33.585521730108894
281,18.761092844573692,19.471422845265067,47.262834889961745,3.635159501808252,7.628608248722882,21.313154993057104,32.603524883625646
282,5.525494967672223,12.821233548200826,57.396386340890864,3.7357583603596503,7.302062822952289,9.269280440888998,24.053403964233496
283,21.196811449326223,30.72010843479312,71.87977652026284,2.761953943992734,7.889971403532705,17.73167742047319,35.71760140747544
284,18.768670962567988,22.285859886134972,83.90500923375004,4.004918432265908,7.773090161235967,20.994008026031153,31.93660711977214
285,20.562578547589958,29.749133077060115,79.88297151956205,3.5808440591735615,8.270764713698041,21.425716006998613,20.8578405051626
286,6.42987031003871,4.074617809651874,17.023568489293492,11.304601144470713,7.809509079326523,10.339502409469821,17.994445404722153
287,6.432187134215222,11.066573803246902,27.16546069504132,9.519369894556114,8.120349465536755,9.060919731466392,18.945349060480268
288,4.491732452807864,4.638888969111637,36.85283980704412,10.999643582926101,8.817678429658443,3.299452572262534,27.95200664010104
289,3.125020841806212,6.872166941167039,17.77515198729623,11.072337459903752,8.715240721506003,8.946141504614056,30.141233931683363
290,8.140786347387666,8.59513561658006,25.165119093989837,10.659571339100333,9.170616094249018,2.816702153763459,33.07843926223187
291,2.122380740925204,4.920869361452984,14.251672287369562,8.337639336704974,9.157926721229515,9.658053405338862,37.40308412330419
292,8.504553788046472,7.632701598511852,42.21030522195279,9.830781156975036,8.26033080569175,9.158136434727332,34.22934487927891
293,6.2272970988631355,10.091643682708325,22.74395616051702,15.543717365439441,8.838213995291625,9.926263136541696,32.81319177093001
294,6.99419877646409,4.029129505065667,45.02350702021211,15.491833001505567,9.56963783839941,8.264369413839535,24.888074103955503
295,1.6170571717054054,4.762045471469637,31.086084842680997,10.136634316815712,8.124128833400196,10.327421092647063,19.707567940594487
296,21.08858532596696,27.15080557876489,83.82533401435742,1.2837680805355332,7.808638844783616,30.611682294410194,19.343980565418946
297,23.941979703349393,32.601968548246646,104.45962210014443,3.715729496190852,7.276158500387885,24.073077126496056,24.490182800540087
298,24.42022644184874,30.51423854353213,119.7701862326028,1.8241665433779835,8.136561457195747,30.930635478271526,28.679934643748087
299,19.95552992864679,33.433917613772856,82.07783232036891,1.70462850573921,8.280203264223285,23.73490280108093,27.967722676582074
300,19.51363618963695,35.046216913729666,104.79922064120095,1.4564780883403974,8.246525372383774,28.82171742561583,32.305482908972756
301,34.47629161534671,31.856195104891892,118.32994260743402,3.1686963601997067,8.402643367997893,37.219185778510855,31.46952639789044
302,6.394871401130736,16.200534736096387,49.10522138663435,3.7459910965337606,8.781589091190753,12.112786998293368,34.50788846733932
303,10.711457417432914,6.110868754893831,35.5693497592183,5.2889326747029,7.713414826600987,11.825204712489526,29.3725078325276
304,3.7845617162384646,10.590999373711481,54.76208822907387,8.227305889552833,8.107746122178877,7.185705534078457,32.26908406571474
305,14.507126297423394,21.023693224706406,90.47068898662889,3.3984663909501327,8.101393025672925,18.12428941904534,28.074435249207824
306,17.199325740390513,39.18917133488686,77.6441123280544,1.7305702654800976,7.971115911471941,22.494343126099814,29.41299987782931
307,28.718922653945185,42.36250318235266,97.95523781502258,2.4504410378179164,7.67627097916535,30.797007458078347,26.783873615930425
308,22.422296153060394,27.08263793409156,81.66896077582268,2.6579491723879682,7.531250910644769,27.488061945150022,14.862938307044004
309,17.328251343728773,39.72685462993114,108.86462960437387,3.617572291200756,7.260700853270041,29.034183814462637,28.641235912339884
310,23.900126068218118,31.522815246616258,104.11081009320799,2.246420045214676,7.749117313456883,30.88398457901491,28.40271405712346
311,24.74997531292477,35.427924417612005,91.75831186584766,1.440131585678575,8.032055791107698,24.037857538309403,30.7004644749712
312,23.293577304527318,48.64717781617697,86.88825167243097,1.6781561829096376,8.145107514476273,25.978633460542863,30.063845149105234
313,28.792538771798426,42.456399448977706,113.04224231540462,2.2099673004789393,8.392415542704235,32.566578975477675,31.065782905456786
314,3.6298960934971043,6.813075468416425,38.31951619871469,4.034191023423586,8.467549168505396,10.59621804495287,32.087358054469526
315,4.652899450348268,12.951673510760823,43.47848148754588,4.547540908765496,7.574113816818375,7.495851598178292,37.648034385701386
